Id,Role,Year,Description,URL
77,guest editor,2019,Applied Ontology,https://submissions.iospress.com/applied-ontology/CIM
76,program committee member,2019,The Web Conference 2019,https://www2019.thewebconf.org/
75,program committee member,2019,The 34th ACM/SIGAPP Symposium On Applied Computing (SAC),https://www.sigapp.org/sac/sac2019/
74,program committee member,2019,Privacy-Enhancing Artificial Intelligence and Language Technologies AAAI Spring Symposium ,https://sites.google.com/view/pal2019/
73,program committee member,2018,Fifth Italian Conference on Computational Linguistics (CLiC-it 2018),http://clic2018.di.unito.it/en/home-2/
72,chair,2018,Aspect-based Sentiment Analysis at EVALITA 2019 (ABSITA),http://sag.art.uniroma2.it/absita/
71,chair,2018,Irony Detection in Italian Tweets shared task at EVALITA 2019 (IronITA),http://www.di.unito.it/~tutreeb/ironita-evalita18/index.html
70,chair,2018,2nd Workshop on Natural Language for Artificial Intelligence (NL4AI),http://sag.art.uniroma2.it/NL4AI/
69,program committee member,2018,Re-coding Black Mirror workshop at WWW2018,https://kmitd.github.io/recoding-black-mirror/
68,program committee member,2018,17th International Semantic Web Conference (ISWC 2018),http://iswc2018.semanticweb.org/
67,program committee member,2018,2nd International Workshop on the Application of Semantic Web technologies in Robotics (AnSWeR18),http://answer.kmi.open.ac.uk/
66,program committee member,2018,Emotion Modeling and Detection in Social Media and Online Interaction (Emotions@AISB 2018),http://collab.di.uniba.it/aisbemotions/
65,program committee member,2018,Open Knowledge Extraction Challenge (OKE 2018),https://project-hobbit.eu/challenges/oke2018-challenge-eswc-2018/
64,program committee member,2018,AI*IA Doctoral Consortium (AI*IA-DC 2018),http://aixia2018.fbk.eu/index.php/call-for-doctoral-consortium/
63,program committee member,2018,The 33rd ACM Symposium On Applied Computing (SAC 2018),https://www.sigapp.org/sac/sac2018/
62,reviewer,2018,Intelligent Service Robotics (JIST),http://www.springer.com/engineering/control/journal/11370
61,program committee member,2018,IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS 2018),https://www.iros2018.org/
