time,CDA,CU,D66,DPK,GL,PVDA,PVDD,PVV,SGP,SP,VVD
1382703854,0,582,0,0,869,0,24,733,449,0,1327
1382703970,0,584,0,0,874,0,26,733,449,0,1331
1382703972,0,584,0,0,874,0,26,733,449,0,1331
1382704006,0,584,0,0,874,0,27,733,449,0,1331
1382704061,0,584,0,0,876,0,29,733,449,0,1332
1382704069,0,585,0,0,877,0,29,733,449,0,1332
1382704269,0,585,0,0,877,0,31,733,449,0,1332
1382704694,0,591,0,0,887,0,38,733,449,0,1341
1382704696,0,591,0,0,887,0,38,733,449,0,1341
1382704697,0,591,0,0,887,0,38,733,449,0,1341
1382704748,0,592,0,0,889,0,40,733,449,0,1344
1382705030,0,596,0,0,894,0,44,733,449,0,1351
1382705045,0,596,0,0,894,0,44,733,449,0,1351
1382705347,0,602,0,0,895,0,49,733,449,0,1352
1382705655,0,608,0,0,901,0,54,733,449,0,1361
1382705660,0,608,0,0,902,0,54,733,449,0,1361
1382705686,0,609,0,0,902,0,55,733,449,0,1361
1382705808,0,610,0,0,906,0,56,733,449,0,1364
1382705884,0,612,0,0,912,0,57,733,449,0,1366
1382706168,0,618,0,0,919,0,60,733,449,0,1374
1382706981,0,618,0,0,919,0,60,733,449,0,1374
1382707021,0,618,0,0,919,0,61,733,449,0,1374
1382707455,0,624,0,0,920,0,69,733,449,0,1394
1382707462,0,624,0,0,920,0,69,733,449,0,1395
1382707596,0,628,0,0,924,0,71,733,449,0,1398
1382708878,0,639,0,0,949,0,90,733,449,0,1438
1382709599,0,649,0,0,952,0,95,733,449,0,1439
1382709692,0,651,0,0,957,0,96,733,449,0,1443
1382710026,0,654,0,0,962,0,98,733,449,0,1452
1382710050,0,655,0,0,963,0,99,733,449,0,1454
1382710120,0,657,0,0,967,0,99,733,449,0,1454
1382710125,0,657,0,0,967,0,99,733,449,0,1455
1382710413,0,667,0,0,974,0,103,733,449,0,1467
1382710456,0,668,0,0,977,0,103,733,449,0,1468
1382710625,0,675,0,0,986,0,105,733,449,0,1475
1382710797,0,680,0,0,993,0,109,733,449,0,1481
1382710882,0,682,0,0,994,0,109,733,449,0,1482
1382711146,0,690,0,0,1001,0,112,733,449,0,1488
1382711195,0,692,0,0,1004,0,112,733,449,0,1491
1382711215,0,694,0,0,1005,0,112,733,449,0,1491
1382711223,0,695,0,0,1005,0,113,733,449,0,1491
1382711227,0,695,0,0,1005,0,113,733,449,0,1491
1382711230,0,695,0,0,1005,0,113,733,449,0,1491
1382711235,0,695,0,0,1006,0,113,733,449,0,1491
1382711247,0,695,0,0,1007,0,113,733,449,0,1492
1382711280,0,697,0,0,1008,0,114,733,449,0,1492
1382711302,0,697,0,0,1009,0,115,733,449,0,1493
1382711305,0,697,0,0,1010,0,115,733,449,0,1493
1382711311,0,698,0,0,1010,0,115,733,449,0,1494
1382711314,0,698,0,0,1011,0,115,733,449,0,1494
1382711358,0,700,0,0,1013,0,116,733,449,0,1497
1382711760,0,710,0,0,1030,0,122,733,449,0,1503
1382711784,0,711,0,0,1032,0,122,733,449,0,1503
1382712112,0,727,0,0,1055,0,132,733,449,0,1515
1382712349,0,729,0,0,1061,0,136,733,449,0,1522
1382712543,0,735,0,0,1061,0,142,733,449,0,1527
1382712976,0,742,0,0,1069,0,150,733,449,0,1542
1382713219,0,746,0,0,1073,0,153,733,449,0,1550
1382713222,0,746,0,0,1073,0,153,733,449,0,1550
1382713225,0,747,0,0,1073,0,153,733,449,0,1550
1382713227,0,747,0,0,1073,0,153,733,449,0,1550
1382713230,0,747,0,0,1073,0,153,733,449,0,1550
1382713320,0,749,0,0,1073,0,154,733,449,0,1551
1382713362,0,749,0,0,1074,0,155,733,449,0,1553
1382713389,0,749,0,0,1073,0,155,733,449,0,1554
1382713394,0,749,0,0,1073,0,155,733,449,0,1554
1382713398,0,749,0,0,1073,0,155,733,449,0,1555
1382713899,0,756,0,0,1079,0,162,733,449,0,1570
1382714181,0,764,0,0,1080,0,169,733,449,0,1572
1382714418,0,768,0,0,1081,0,173,733,449,0,1576
1382714625,0,772,0,0,1082,0,178,733,449,0,1583
1382714678,0,773,0,0,1082,0,180,733,449,0,1585
1382714705,0,773,0,0,1084,0,180,733,449,0,1585
1382714778,0,774,0,0,1085,0,180,733,449,0,1586
1382714781,0,774,0,0,1085,0,180,733,449,0,1586
1382714832,0,776,0,0,1087,0,182,733,449,0,1587
1382715012,0,779,0,0,1089,0,184,733,449,0,1596
1382715071,0,782,0,0,1089,0,186,733,449,0,1597
1382715333,0,786,0,0,1089,0,193,733,449,0,1601
1382715408,0,786,0,0,1089,0,193,733,449,0,1601
1382715763,0,790,0,0,1090,0,196,733,449,0,1610
1382715776,0,790,0,0,1091,0,196,733,449,0,1610
1382715799,0,790,0,0,1092,0,197,733,449,0,1612
1382715812,0,790,0,0,1092,0,197,733,449,0,1612
1382715821,0,790,0,0,1092,0,198,733,449,0,1612
1382715830,0,791,0,0,1092,0,198,733,449,0,1612
1382715832,0,791,0,0,1092,0,198,733,449,0,1612
1382715847,0,791,0,0,1092,0,198,733,449,0,1612
1382715866,0,791,0,0,1092,0,199,733,449,0,1612
1382715920,0,791,0,0,1092,0,200,733,449,0,1612
1382723053,0,791,0,0,1092,0,200,733,449,0,1612
1382732481,0,794,0,0,1092,0,200,733,449,0,1612
1382944153,0,794,0,0,1092,0,200,733,449,0,1612
1382944768,0,794,0,0,1092,0,200,733,449,0,1635
1382945679,0,794,0,0,1092,0,200,733,449,0,1697
1382946051,0,794,0,0,1092,0,200,733,449,0,1715
1382946614,0,794,0,0,1092,0,200,733,449,0,1742
1382947078,0,794,0,0,1092,0,200,733,449,0,1757
1382948128,0,804,0,0,1103,0,205,733,449,0,1791
1382948471,0,808,0,0,1104,0,210,733,449,0,1800
1382949128,0,823,0,0,1109,0,220,733,449,0,1823
1382949213,0,827,0,0,1113,0,222,733,449,0,1826
1382949285,0,828,0,0,1116,0,223,733,449,0,1831
1382949308,0,828,0,0,1116,0,224,733,449,0,1832
1382949351,0,829,0,0,1118,0,225,733,449,0,1835
1382949359,0,829,0,0,1118,0,225,733,449,0,1835
1382949366,0,829,0,0,1118,0,225,733,449,0,1835
1382949369,0,829,0,0,1118,0,225,733,449,0,1836
1382950204,0,864,0,0,1143,0,237,733,449,0,1879
1382950210,0,864,0,0,1144,0,237,733,449,0,1879
1382950922,0,878,0,0,1162,0,249,733,449,0,1880
1382951872,0,896,0,0,1190,0,267,733,449,0,1886
1382951906,0,897,0,0,1191,0,267,733,449,0,1889
1382952147,0,900,0,0,1195,0,272,733,449,0,1894
1382952235,0,901,0,0,1196,0,274,733,449,0,1895
1382952624,0,908,0,0,1206,0,282,733,449,0,1913
1382952974,0,913,0,0,1213,0,288,733,449,0,1924
1382953004,0,913,0,0,1214,0,288,733,449,0,1924
1382953008,0,913,0,0,1214,0,288,733,449,0,1924
1382953011,0,913,0,0,1214,0,288,733,449,0,1924
1382953206,0,916,0,0,1216,0,292,733,449,0,1927
1382953739,0,932,0,0,1225,0,303,733,449,0,1960
1382953927,0,935,0,0,1231,0,307,733,449,0,1973
1382954119,0,941,0,0,1240,0,309,733,449,0,1983
